Word,Frequency
fact,0.0031801213
set,0.0030429806
conjunction,0.0030159687
property,0.0030144858
required,0.0028053757
used,0.0028015645
also,0.0027885272
take,0.0026994937
read_conjunction,0.002665746
mean,0.00262162
charge,0.002587747
annex,0.0025781684
ass,0.002545718
provider,0.0024873973
determine,0.0024452398
january,0.0023801955
framework,0.0023750665
second,0.0023724174
misleading,0.002348758
consequence,0.0023452889
established,0.0023296187
operator,0.0023143815
ascertain,0.002302561
trade_mark,0.0022602142
nature,0.0022577283
informed,0.0022505522
however,0.002246818
public,0.0022354901
number,0.0022022754
make,0.0021916055
financial,0.0021853743
provides,0.0021375704
procedure,0.0021137854
reference,0.0020887055
third,0.0020880396
point,0.0020677564
risk,0.0020621074
conclusion,0.0020574806
result,0.0020499313
reasonably,0.002042257
regulatory,0.0019987067
access,0.001995589
unfairness,0.0019916396
available,0.001987319
assessment,0.0019762316
brought,0.0019440284
provide,0.0019406283
paid,0.0019240442
far,0.0019193728
mortgage,0.0019008016
concept,0.0018853772
guarantee,0.0018783832
laying,0.0018762279
september,0.0018715254
offer,0.0018599494
event,0.0018471532
form,0.0018406089
currency,0.0018357611
establishing,0.0018353959
existence,0.001834495
taken,0.0018295251
main_proceeding,0.0018278129
agricultural,0.0018252787
taking,0.0018053161
providing,0.0018019787
finding,0.001792129
travel,0.0017894047
common,0.0017821031
thereof,0.0017688444
individual,0.001756372
whose,0.0017287347
ensure,0.0017228834
system,0.0017187904
marketing,0.0017162071
comparative,0.0017124502
context,0.0017118059
le,0.0017076916
possible,0.0017075258
based,0.0017023628
natural,0.0016974041
date,0.0016852351
labelling_presentation,0.0016848927
substance,0.0016765028
producer,0.0016718433
constitute,0.0016488445
place,0.0016474205
adopt,0.0016228083
creditor,0.0016152837
intended,0.0016130389
constitutes,0.0015995048
end,0.0015984144
relevant,0.0015921723
dispute,0.0015808416
advertisement,0.0015797458
consideration,0.001565262
damage,0.0015562272
request,0.0015491561
activity,0.0015407946
limit,0.0015395574
view,0.0015367958
well,0.0015347537
absence,0.0015343304
prior,0.0015251259
free,0.0015243588
exchange,0.0015223547
element,0.0015182936
apply,0.0015109057
requires,0.0014972135
compensation,0.0014811084
conformity,0.0014794645
designation_origin,0.0014783855
foreign,0.0014756839
purchase,0.0014606992
arising,0.0014590176
ingredient,0.0014557361
commerce,0.0014453687
covered,0.0014443526
need,0.0014314974
aspect,0.0014313535
electronic_commerce,0.0014167458
prescribed,0.0014116843
cover,0.0014093051
marketed,0.0013989289
spain,0.001397879
paragraph,0.0013964152
applies,0.0013923489
domestic,0.0013815996
production,0.0013684396
level,0.0013565829
economic,0.0013559371
description,0.0013540259
safety,0.0013529048
content,0.0013480989
liable,0.001346776
prohibition,0.0013420515
able,0.0013330776
require,0.0013312467
including,0.001329487
significant,0.0013293496
data,0.0013286346
negotiated,0.0013267213
could,0.0013211288
average,0.0013153702
classified,0.0013138801
contains,0.0013104021
ruling,0.0013006396
making,0.0012946707
authorisation,0.001293805
requiring,0.0012936894
bear,0.0012852297
validity,0.001282901
la,0.0012771967
italian,0.0012753814
following,0.0012720085
manufacturer,0.0012680881
pre,0.001264433
examine,0.0012624103
prohibits,0.0012564481
year,0.001255354
effectiveness,0.0012548959
performance,0.001254514
debt,0.0012529847
packaging,0.0012492572
distance,0.0012432823
registration,0.0012409246
february,0.001240515
according,0.0012359358
judicial,0.0012355816
criterion,0.0012304843
3a,0.0012244352
competent,0.001221006
protect,0.0012109337
method,0.0012103451
july_approximation,0.0012095157
premise,0.0012051383
protected_designation,0.0012034714
acting,0.0011992499
grand,0.0011992205
limitation,0.0011984733
examination,0.0011966358
allowing,0.0011933949
wine,0.0011909093
precludes,0.0011850069
exercise,0.0011825786
emergency,0.0011747436
latter,0.0011745766
verify,0.0011743564
intelligible,0.0011742637
outside,0.0011724021
carry,0.001169753
cause,0.0011691045
et,0.0011679687
consumption,0.0011661664
hearing,0.0011620012
taking_account,0.001160615
sum,0.001151972
borrower,0.0011510667
repayment,0.0011496133
submitted,0.0011474495
intermediary,0.0011462163
territory,0.0011458613
factor,0.0011378413
evidence,0.0011353119
profession,0.0011326004
understood,0.001130554
prevent,0.001130006
supply,0.0011266422
give,0.0011260923
telephone,0.0011253102
standard,0.0011239661
cancellation,0.0011237327
objective,0.0011236684
force,0.0011225871
classification,0.0011214324
retail,0.001117275
full,0.0011092958
appeal,0.0011091277
website,0.0011088852
value,0.0011052712
determined,0.0011043524
internet,0.0010990355
solely,0.001098788
human,0.0010966023
liability_defective,0.001095926
water,0.0010954709
body,0.001093083
penalty,0.001087304
clause,0.0010817202
mobile,0.0010766329
found,0.0010738983
secondly,0.001072435
energy,0.0010700792
contrary,0.0010692527
advertiser,0.0010689682
associated,0.0010676754
imported,0.0010656076
information_society,0.0010621843
society,0.0010621832
relation,0.0010615328
fundamental,0.0010583553
medium,0.0010583173
material,0.001058081
purchaser,0.0010534896
two,0.0010530361
chain,0.0010519784
tfeu,0.0010498833
characteristic,0.0010484551
due,0.0010482456
interpretation,0.0010453667
similar,0.001043765
present,0.0010435708
giving,0.0010430305
call,0.001040914
compliance,0.001033217
building,0.0010329353
lender,0.0010326054
immovable_property,0.0010277634
immovable,0.0010277596
unless,0.0010218477
competitor,0.0010210399
objection,0.0010209356
