Word,Frequency
framework,0.0037518349
set,0.0032211062
conjunction,0.0031869358
regulatory,0.0030263746
second,0.0029806509
nature,0.002771567
fact,0.0026766795
used,0.0026225543
read_conjunction,0.0026152767
provider,0.00260458
required,0.002558824
operator,0.0025385793
number,0.0024732556
mean,0.0024637515
take,0.0024261482
determine,0.0024045093
ascertain,0.0023686625
provide,0.0023546591
annex,0.0023544438
make,0.002352152
form,0.0023064257
common,0.0022650317
adopt,0.0022601346
concept,0.0022502688
also,0.0022420087
consequence,0.0022387286
september,0.002235697
property,0.0021968724
event,0.0021960759
procedure,0.0021843058
access,0.002171205
misleading,0.0021679215
finding,0.0021647844
charge,0.0021332104
third,0.0021227992
available,0.0021082968
trade_mark,0.0020820852
january,0.0020734454
provides,0.002065166
substance,0.0020523532
however,0.0020355152
ass,0.0020278958
offer,0.0020063475
le,0.0020017761
brought,0.0019951572
prescribed,0.0019878957
individual,0.0019754707
established,0.0019695414
paid,0.001955405
unfairness,0.0019470641
risk,0.0019451509
reference,0.001944967
financial,0.0019391403
possible,0.0019373196
public,0.0019064994
thereof,0.0018991402
producer,0.0018942206
travel,0.0018854431
far,0.0018762377
existence,0.001864005
point,0.001857811
natural,0.0018515459
exchange,0.0018441626
marketing,0.0018302222
agricultural,0.0018282171
result,0.0018271185
currency,0.0018114953
mortgage,0.0018000166
ensure,0.0017875367
context,0.0017678211
taking,0.0017597388
providing,0.0017506424
marketed,0.0017387354
assessment,0.0017374615
informed,0.001734123
repayment,0.0017248117
element,0.0017194496
effectiveness,0.0017016425
dispute,0.0016969665
production,0.0016907986
labelling_presentation,0.0016764115
spain,0.00167235
damage,0.0016723127
instrument,0.0016350751
relevant,0.001635033
laying,0.0016291897
constitute,0.0016270272
based,0.0016207577
hand,0.0016173174
place,0.0016122253
date,0.0016083682
criterion,0.0015962735
main_proceeding,0.0015881507
bear,0.0015827527
common_regulatory,0.0015779652
advertisement,0.0015705031
taken,0.0015683798
guarantee,0.0015678343
arising,0.001557146
designation_origin,0.0015569631
comparative,0.0015417937
examine,0.001533981
paragraph,0.001525212
hearing,0.001521822
reasonably,0.0015084639
constitutes,0.0015081129
conclusion,0.0014867159
absence,0.0014844775
system,0.0014817175
belgium,0.0014751686
registration,0.001461396
limit,0.0014609456
clause,0.001455963
free,0.0014538295
prior,0.0014525705
purchase,0.001443751
foreign,0.0014395552
end,0.0014326819
able,0.001420866
compensation,0.0014148281
sum,0.0014076586
liable,0.001403578
establishing,0.0014027589
content,0.0014027553
intelligible,0.0014016483
including,0.0013976654
performance,0.0013940639
kingdom_belgium,0.0013817891
making,0.0013762529
creditor,0.0013747413
judicial,0.0013725122
requires,0.0013720384
prohibition,0.001371909
covered,0.001369968
request,0.00136765
intended,0.0013666084
kingdom_spain,0.0013568796
latter,0.0013555381
requiring,0.0013551221
purchaser,0.0013475379
consideration,0.0013471792
july_approximation,0.001345992
prohibits,0.0013444581
full,0.0013356196
precludes,0.0013251052
understood,0.0013230806
limitation,0.0013230485
view,0.0013211864
distance,0.0013198912
necessary_comply,0.0013168307
liability_defective,0.0013062424
cover,0.0013000438
activity,0.0012989335
two,0.0012889699
aspect,0.0012860285
interpretation,0.0012852815
objective,0.0012830043
apply,0.0012642946
verify,0.0012633734
determined,0.0012595183
ruling,0.0012576493
sixth_chamber,0.0012552894
sixth,0.0012552874
whose,0.0012497997
contrary,0.0012483764
organic,0.0012432175
need,0.0012340881
et,0.0012313834
packaging,0.0012305111
amendment,0.0012167897
economic,0.0012153686
contains,0.0012144881
well,0.0012136889
protected_designation,0.0012136225
significant,0.0012129515
appeal,0.0012124621
according,0.00121204
year,0.0012094781
due,0.0012084715
found,0.0012076197
german_selected,0.0012056539
german,0.0012056524
level,0.0011983451
germany,0.0011960532
italian,0.0011889103
grand,0.0011870217
force,0.0011868661
require,0.001185862
applies,0.0011808877
borrower,0.0011787011
contained,0.0011776988
professional,0.0011759959
factual,0.0011738538
country,0.001173574
ingredient,0.0011720991
hellenic_republic,0.001166182
hellenic,0.0011661819
includes,0.0011631215
water,0.0011624733
website,0.0011588236
lender,0.0011575163
february,0.001152692
la,0.0011515061
competent,0.0011477878
profession,0.0011415865
3a,0.0011360508
considered,0.001131008
extension,0.0011300915
penalty,0.0011281235
telephone,0.0011270414
classified,0.001126269
debt,0.0011251222
data,0.0011220804
manufacturer,0.0011204894
examination,0.001118776
lawfully,0.0011094145
exercise,0.0011063631
preliminary,0.0011038763
cancellation,0.0011029664
annulment,0.0011006927
tfeu,0.0010974759
total,0.0010969859
relation,0.0010956925
single,0.0010912872
taking_account,0.0010842533
federal,0.001082759
acting,0.0010731503
allowing,0.0010719416
validity,0.0010656818
give,0.0010580221
premise,0.0010570292
method,0.0010467661
prevent,0.0010448165
withdrawal,0.0010434233
establish,0.0010412133
imported,0.0010404033
commerce,0.0010402945
negotiated,0.001039335
pre,0.0010369901
defendant,0.0010358939
package_travel,0.0010349826
registered,0.0010322897
unless,0.0010320793
allow,0.0010291694
capable,0.0010289267
cause,0.0010273176
territory,0.0010258795
internet,0.0010247653
submitted,0.001024444
associated,0.0010178945
federal_republic,0.0010162364
duration,0.0010156138
electronic_commerce,0.0010122099
classification,0.0010072922
could,0.0010072167
value,0.0010027105
secondly,0.0009944467
applied,0.0009921908
specified,0.0009916327
continue,0.0009914893
effective,0.0009901838
characteristic,0.0009885656
intermediary,0.0009854096
change,0.0009846669
description,0.0009843293
emergency,0.0009819702
subparagraph,0.0009816679
domestic,0.0009810049
preliminary_ruling,0.0009759425
average,0.00097458117
factor,0.0009711956
justified,0.00096995954
ultimate,0.0009674157
retail,0.0009654674
assurance,0.0009647614
material,0.00096448604
call,0.00096196414
similar,0.0009603606
outside,0.0009583642
medium,0.0009582962
following,0.0009576084
solely,0.00095346
authorisation,0.00095293944
immovable_property,0.0009508651
immovable,0.0009508651
di,0.0009498346
consumption,0.0009494159
legal_factual,0.00094308925
agreed,0.0009430724
way,0.0009386316
adopting,0.00093775854
safety,0.00093361305
holiday,0.0009313963
french,0.00093102356
manner,0.0009267965
natural_person,0.00092488533
mobile,0.0009227315
breach,0.00092124153
selling,0.00091955165
protect,0.000914017
region,0.000913029
human,0.00091171876
containing,0.00091140403
stage,0.00090980425
related,0.000908959
civil,0.00090633647
modified,0.0009034012
genetically,0.0009034011
genetically_modified,0.0009034011
satisfied,0.0009012116
review,0.00089972076
end_user,0.000898901
allows,0.00089283386
void,0.00089049316
category,0.0008885929
position,0.00088811805
conformity,0.0008838735
remedy,0.00088107
denmark,0.0008807831
carried,0.00087822723
new,0.0008769149
procedural,0.0008758813
though,0.00087145093
passenger,0.0008707827
tariff,0.00086841633
carry,0.00086812384
specification,0.0008665566
prohibiting,0.00086497376
conferred,0.0008646038
proportionate,0.000864273
wine,0.0008641955
likely,0.0008641271
organiser,0.0008610353
compliance,0.00086093455
fundamental,0.0008596235
sale_ultimate,0.0008574871
plain,0.00085531763
faith,0.0008551069
governing,0.0008534313
present,0.00085304875
rise,0.0008527174
certain_aspect,0.0008516251
appropriate,0.0008504284
technical,0.0008491824
produced,0.00084389123
resulting,0.00084374746
body,0.00084079854
scheme,0.0008399969
easily,0.00082954846
justice,0.0008293902
include,0.0008282811
irrelevant,0.0008281566
included,0.0008277313
instalment,0.00082764676
even_though,0.00082621444
statement,0.000825023
either,0.0008203093
type,0.0008189851
capital,0.0008181528
vehicle,0.00081733376
transpose,0.0008137204
calculation,0.00081277546
chamber_answer,0.0008118313
advertiser,0.000810297
lawyer,0.0008099047
mortgage_enforcement,0.00080845447
directly,0.00080837647
obliged,0.0008076943
sufficient,0.00080541655
restriction,0.0008033296
failure,0.00080221624
ii,0.0008017348
competitor,0.00080122665
clear,0.0008009058
refers,0.0008005363
fee,0.0008000951
objection,0.0007997959
en,0.00079978566
given,0.0007957183
conduct,0.0007916573
extent,0.0007909067
least,0.0007906333
power,0.0007888563
inter,0.00078726286
alia,0.00078724633
inter_alia,0.0007872295
relied,0.00078698405
supply,0.00078672386
