Word,Frequency
trade_mark,0.0035475888
set,0.003262103
fact,0.003242472
required,0.0029570567
take,0.0028035126
also,0.0027691964
property,0.0027656967
used,0.0026939085
conjunction,0.0025988212
second,0.002517579
misleading,0.0024654274
determine,0.0024500217
ascertain,0.0024454438
january,0.0023826116
consequence,0.0023707075
mean,0.0023631381
read_conjunction,0.002346194
nature,0.002342639
procedure,0.002339617
annex,0.0023282599
number,0.00230688
operator,0.0023062814
ass,0.0023016827
provider,0.0023016802
comparative,0.0022816353
established,0.0022808067
make,0.0022622175
third,0.0022567203
risk,0.0022404091
charge,0.0022371528
available,0.0022280712
brought,0.0022156504
however,0.0022088012
currency,0.0022066887
financial,0.0021728307
reference,0.0021709222
informed,0.0021673248
advertisement,0.0021568085
paid,0.002144284
reasonably,0.0021438992
provide,0.0021324155
provides,0.0021274656
offer,0.0021190709
public,0.0021024207
unfairness,0.0020806172
result,0.0020562797
form,0.0020526312
taken,0.0020331629
september,0.0020225733
event,0.0020168754
place,0.0019888706
individual,0.0019874792
existence,0.0019794242
point,0.0019709545
context,0.0019388616
damage,0.0019264866
producer,0.0019158539
establishing,0.0018977104
conclusion,0.0018782503
ensure,0.0018758362
framework,0.0018569258
taking,0.0018563456
3a,0.0018528985
le,0.0018449577
laying,0.0018429888
far,0.0018403972
concept,0.0018238163
date,0.0018040289
constitute,0.0017990328
level,0.0017960359
main_proceeding,0.0017904039
whose,0.0017793088
thereof,0.0017622281
mortgage,0.0017525757
dispute,0.001728993
guarantee,0.0017224608
access,0.0017140832
foreign,0.0017120729
system,0.0016945653
adopt,0.0016921242
assessment,0.0016847968
possible,0.0016801847
providing,0.0016734048
marketing,0.0016728124
exchange,0.0016709939
element,0.0016693755
based,0.0016688723
consideration,0.0016678567
finding,0.0016576825
regulatory,0.0016557005
travel,0.0016501718
liable,0.0016469241
view,0.0016343097
advertiser,0.001605087
agricultural,0.0015949066
competitor,0.0015857343
substance,0.0015848586
purchase,0.0015787655
natural,0.0015628142
relevant,0.0015518782
proprietor,0.0015433986
well,0.0015398398
constitutes,0.0015303129
common,0.0015287533
end,0.001524172
significant,0.0015141283
repayment,0.0015098676
economic,0.0015095224
prior,0.0015083834
compensation,0.0015031575
requires,0.0014964743
covered,0.0014964645
designation_origin,0.0014937912
activity,0.0014937401
absence,0.0014876595
year,0.001480818
intended,0.001468608
arising,0.0014614245
safety,0.0014606733
examine,0.0014512346
able,0.0014437453
conformity,0.0014336441
prescribed,0.0014183958
labelling_presentation,0.0014131415
limit,0.0014107159
judicial,0.001410198
need,0.0014012456
making,0.0014008766
effectiveness,0.0013938821
including,0.0013936975
sum,0.0013890032
free,0.0013863139
registration,0.0013857463
content,0.001382629
request,0.0013823428
la,0.0013778271
marketed,0.0013761935
paragraph,0.0013626679
intelligible,0.0013625788
data,0.0013503821
average,0.0013492812
emergency,0.001348021
criterion,0.0013456194
bear,0.0013455156
july_approximation,0.0013359316
aspect,0.0013295064
limitation,0.0013218765
could,0.0013203411
manufacturer,0.0013083376
et,0.0013068969
following,0.0012907058
debt,0.0012880049
apply,0.0012871221
production,0.0012817262
chain,0.0012572178
registered,0.0012559803
contains,0.0012540596
liability_defective,0.0012537073
prevent,0.0012512004
latter,0.0012437042
performance,0.001241039
distance,0.0012394931
according,0.0012378871
ingredient,0.001236324
comparison,0.0012360718
creditor,0.0012295858
cause,0.0012259958
clause,0.0012219079
contrary,0.0012185667
protected_designation,0.0012168823
prohibition,0.0012145048
taking_account,0.0012104893
borrower,0.0012073216
method,0.0012055557
two,0.0012005798
prohibits,0.0012000605
require,0.0011944494
requiring,0.001193698
exercise,0.0011919187
penalty,0.001191779
relation,0.0011900378
negotiated,0.0011889718
cover,0.001186617
contained,0.0011860545
food_safety,0.0011845673
hearing,0.0011840407
applies,0.001183586
give,0.0011707915
comparative_advertising,0.0011662781
similar,0.0011649946
full,0.0011628396
human,0.0011624952
precludes,0.0011527331
interpretation,0.0011428071
verify,0.001140468
allow,0.0011375004
grand,0.0011363567
imported,0.001128284
force,0.0011278527
intermediary,0.0011270862
description,0.0011223925
solely,0.0011217773
pre,0.001117846
competent,0.0011166874
characteristic,0.0011151904
italian,0.0011141378
telephone,0.0011097367
tfeu,0.0011092408
territory,0.0011079242
found,0.0011072787
professional,0.0011041564
examination,0.0011029304
directory,0.001097406
classified,0.0010966215
domestic,0.0010952235
water,0.0010942726
spain,0.0010893041
considered,0.0010873243
compliance,0.0010854031
february,0.0010850586
secondly,0.001079266
entitled,0.001073264
lender,0.0010722029
wine,0.0010690136
commerce,0.0010671815
capable,0.001066672
factual,0.0010658099
likely,0.0010600379
lawyer,0.0010600039
satisfied,0.0010562444
understood,0.0010546781
rise,0.0010540009
body,0.0010536709
material,0.0010508548
protect,0.0010485274
factor,0.0010474899
premise,0.001046945
sufficient,0.0010457705
authorisation,0.0010435871
profession,0.0010430174
cancellation,0.0010427654
determined,0.001040577
classification,0.0010337404
packaging,0.0010316293
type,0.0010281008
associated,0.0010280359
either,0.0010260888
consumption,0.001023177
appropriate,0.0010229924
due,0.001019521
acting,0.0010187376
internet,0.0010168882
evidence,0.0010156276
electronic_commerce,0.0010124192
establish,0.0010115643
outside,0.001007996
statement,0.0010018162
unless,0.0010012047
annulment,0.0010009874
value,0.0009969173
identical,0.0009949228
amendment,0.0009944559
sold,0.0009924261
giving,0.0009911837
ruling,0.0009904023
civil,0.0009842754
fundamental,0.0009775109
validity,0.0009766774
relationship,0.00097623025
allowing,0.00097612466
call,0.0009753849
appeal,0.0009747649
position,0.00097472186
observant,0.00097235024
reasonably_well,0.00097234704
objective,0.0009716088
tribunal,0.0009705392
void,0.0009692499
carry,0.0009675913
fee,0.0009625543
