Word,Frequency
used,0.00339177
fact,0.0032547463
ingredient,0.0032001734
required,0.0028339587
bear,0.0026893918
set,0.002626009
trade_mark,0.0025921126
property,0.002524048
take,0.0024752638
mean,0.002443978
form,0.0023987405
also,0.0023733187
number,0.002354335
ass,0.0023428805
january,0.0023274564
consequence,0.0023274114
nature,0.002313747
determine,0.0023004834
informed,0.0022944023
available,0.0022809485
conjunction,0.0022680408
provide,0.0022670594
established,0.0022586384
third,0.0022554302
travel,0.0022329933
procedure,0.0022295082
event,0.0022174357
brought,0.0022103176
provider,0.002191052
marketing,0.0021803693
operator,0.0021531365
paid,0.0021492508
charge,0.002131458
provides,0.0021259424
ascertain,0.0021211393
misleading,0.00211517
second,0.0021009978
annex,0.0020855118
framework,0.0020529309
unfairness,0.0020524408
result,0.0020323177
mortgage,0.0020029864
make,0.001996942
concept,0.001987743
however,0.001965954
reference,0.0019610412
hellenic,0.0019273714
hellenic_republic,0.0019273713
offer,0.0019258783
public,0.0019234349
financial,0.0019171693
context,0.0019086475
read_conjunction,0.0019084957
reasonably,0.0019015335
list,0.0018842486
guarantee,0.0018710515
existence,0.0018568265
september,0.0018545833
establishing,0.0018445465
conclusion,0.0018440353
agricultural,0.0018433753
advertisement,0.0018373008
far,0.0018362268
element,0.0018305834
designation_origin,0.0018247548
point,0.0018211367
risk,0.0018210885
significant,0.0018033586
marketed,0.0017962031
taken,0.001781849
ensure,0.0017636948
finding,0.001760827
labelling_presentation,0.0017575616
dispute,0.0017286495
constitutes,0.0017234667
producer,0.0017216927
date,0.0017188847
comparative,0.0017184186
end,0.0017173939
substance,0.0017167685
german_selected,0.0017158893
german,0.0017158611
thereof,0.0016984654
assessment,0.0016954775
adopt,0.001688368
list_ingredient,0.0016832637
access,0.0016802421
covered,0.0016743535
based,0.001674139
intended,0.0016705806
main_proceeding,0.0016704792
year,0.0016654781
individual,0.0016502765
place,0.0016402013
regulatory,0.0016354193
possible,0.0016192105
production,0.0016182031
system,0.0016165102
le,0.0016108151
taking,0.0015993196
hearing,0.0015921324
content,0.0015819434
currency,0.0015816003
common,0.0015789617
performance,0.0015765
request,0.0015685969
whose,0.0015533764
registration,0.0015503048
natural,0.0015455877
providing,0.0015383062
repayment,0.0015308077
examine,0.0015124881
spain,0.0014902803
relevant,0.0014809155
purchase,0.0014751231
absence,0.0014748333
requires,0.001471376
activity,0.0014465335
prescribed,0.0014345145
aspect,0.001434375
understood,0.0014190093
ruling,0.0014176329
least,0.0014153441
